Arduino Pin,Connected Component,Direction,Function
2,PIR sensor output,Input,Motion signal
3,Red LED through 220 ohm resistor,Output,Visual warning
4,Piezo buzzer,Output,Audio warning
5,Diagnostic pushbutton with 10 kilo-ohm pull-down,Input,Manual output test
7,LCD RS,Output,LCD register select
8,LCD Enable,Output,LCD enable
9,LCD D4,Output,LCD data
10,LCD D5,Output,LCD data
11,LCD D6,Output,LCD data
12,LCD D7,Output,LCD data
5V,Sensor LCD and potentiometer power,Power,Supply
GND,Common ground,Power,Return path
